"Key","Value"
"Xeros","the location of the Space Museum in the First Doctor serial of that name. The native Xerons are humanoids. Xeros was part of the Morok Empire, located only three light years from Morok itself.[208]"
"Xeriphas","the home planet of the Xeraphin, referred to in the Fifth Doctor serial Time-Flight.[206] It is also Kamelion's planet of origin.[citation needed]"
"Yegros Alpha and Yegros Beta","both mentioned in The Leisure Hive.[1]"
"Zaakros","another planet from The Leisure Hive. It is famous for having the galaxy's largest flora collection.[1]"
"Zamper","home of the Zamps, in the Virgin New Adventures story of the same name.[391]"
"Zanak","the ""Pirate Planet"", a planet which materialises around other planets to steal their mineral wealth, crushing the planets. The planet is hollow inside, but it surface is pleasant, with green fields, lush vegetation and friendly natives.[57][392]"
"Zazz","a planet of jazz-loving humans, visited by the sixth Doctor in the Doctor Who Magazine comic strip ""The Gift"".[173]"
"Zeen 4","another planet from The Leisure Hive. It is famous for its historical reenactments.[1]"
"Zeos","a planet at war with Atrios in The Armageddon Factor. Zeos has a greenish-gray surface.[51][393]"
"Zephon","a planet mentioned in the First Doctor story The Daleks' Master Plan. It is the center of the empire that is the Fifth Galaxy.[111]"
"Zeta Major","a planet mentioned in The Armageddon Factor.[51]"
"Zeta Minor","the farthest planet out in the known universe, and contains samples of anti-matter. It was first seen in Planet of Evil. It is a planet covered by lush, swampy jungle.[262][394]"
"Zil","another planet from Nightmare of Eden.[56]"
"Zolfa-Thura","an apparently barren world in Meglos.[359][395]"
"Zom","a planet where all emotion was outlawed, visited by the fourth Doctor in the Doctor Who Weekly comic strip ""City of the Damned"".[396]"
"Zygor","the homeworld of the Zygons according to the Eighth Doctor Adventures novel The Bodysnatchers. It was destroyed by an arachnid race from Tau Ceti known as the Xaranti,[397] though this has been directly contradicted on-screen in the 50th anniversary speci"
